"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"180",3.14285714285714,0.0635651751714998,0.267496767494635,0.237629694619673,0.812168317142384,1,1,"Not Significant","conventional","519c16ba1f94d0dd7123180ef6da617d","Bacteria","SAR324","SAR324","SAR324","NAC60-12","Arctic96AD-7",NA
"181",6.11904761904762,-0.0492434754142692,0.193985467371262,-0.253851363617997,0.79961039035946,1,1,"Not Significant","FTPIG","51c901e7ac0a933f1a61afd7ef981f22","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_637066","Oleiphilaceae_637066","Marinobacter_A_637054",NA
"182",5.07142857142857,-0.0356238632678229,0.212047868845019,-0.167999157274529,0.866583942054285,1,1,"Not Significant","FTPIG","51ecac15a29d0d6602266c9622b55ce9","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas_L_486704",NA
"183",14,2.65492772247115e-08,0.127431567413031,2.08341447599558e-07,0.999999833767576,1,1,"Not Significant","conventional","52739118c20f5fbc865a551ba2919d85","Bacteria","Omnitrophota","Omnitrophia","Omnitrophales","UBA2337","XYB12-FULL-50-7",NA
"184",5,0.0559564488493959,0.212638887016607,0.263152472412188,0.792433061554901,1,1,"Not Significant","conventional","531abeb510e182dfee85e6579c0ab60b","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter_E_490551",NA
"185",1.30952380952381,0.0458037092136268,0.412775283404304,0.110965241997698,0.911643909336176,1,1,"Not Significant","conventional","53ab8b177f3b1f2b33bbfb5813e74be6","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_597441","Nitrosomonadaceae","GCA-2721545",NA
"186",1.04761904761905,0.0191088242703186,0.456310071939514,0.0418768408707218,0.966596878506845,1,1,"Not Significant","conventional","548f472cd180fec73f78edfc6f8fc735","Bacteria","Desulfobacterota_G_459546","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae","Geopsychrobacter",NA
"187",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","550015338c3517b24bdc28bb6f9b68c5","Bacteria","Actinobacteriota","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides_A_392796",NA
"188",2,4.77477073778558e-08,0.333783311599403,1.43050013941863e-07,0.999999885862602,1,1,"Not Significant","conventional","56230d305836f25766ad9eeaf1388c63","Bacteria","Bdellovibrionota_E","Bdellovibrionia_A_473294","Bdellovibrionales","SG-bin7","SG-bin7",NA
"189",1.02380952380952,0.0780024954913159,0.459301650477776,0.169828467653395,0.865145038176768,1,1,"Not Significant","conventional","564275765ed3264d8f0519cfffb2dc88","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae_966727","Flavisolibacter_B",NA
"190",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","569493ecb45e0cd23776028b50fb95d4","Bacteria","Zixibacteria","MSB-5A5_778959","UM-FILTER-46-8","UM-FILTER-46-8","UM-FILTER-46-8",NA
