"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"68",2,4.58142379017715e-08,0.326956593875869,1.40123303092536e-07,0.99999988819778,1,1,"Not Significant","conventional","1fbe499e93305adee8a1165d113ac16a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae_902095","Roseivirga_901478",NA
"69",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","202a81426b216e88d92ecbb3b78e44ed","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomicrobium_483265",NA
"70",2.02380952380952,0.039528405836226,0.324554586338935,0.12179278155369,0.903063130876877,1,1,"Not Significant","conventional","20469d72e93df33ce42ef32cd159fdb7","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_592524","Burkholderiaceae_A_574870","Undibacterium_569862",NA
"71",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","20498a8e3b02eaefd2ad676c08e833f1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_650612","Porticoccaceae","Porticoccus",NA
"72",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","21dfc137057574e704d38d384cf2cf46","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Phaeobacter",NA
"73",1.07142857142857,-0.169924955033771,0.441311598512861,-0.385045295900644,0.700203856568182,1,1,"Not Significant","FTPIG","22953850564611669708f34d7a116d04","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter_484322",NA
"74",178.285714285714,0.00224754271263874,0.0336861382841373,0.0667201058690986,0.94680452780712,1,1,"Not Significant","conventional","22a17ea512a563359bcc45c34e23c795","Archaea","Nanoarchaeota","Nanoarchaeia","Pacearchaeales","GW2011-AR1","BMS3ABIN17",NA
"75",20.0238095238095,-0.361406119651937,0.113744777935853,-3.17734252253545,0.00148631383459812,0.254159665716278,0.254159665716278,"Not Significant","FTPIG","24e295ca64def614e0b08ae474d2de04","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_650612","Halieaceae","Luminiphilus",NA
"76",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","2521369980304563b8dc1d6b3e90c394","Bacteria","Firmicutes_A","Clostridia_258483","Lachnospirales","Lachnospiraceae","Eubacterium_Q",NA
"77",9.57142857142857,-0.107383498706158,0.156696176194206,-0.685297505748127,0.493156205422736,1,1,"Not Significant","FTPIG","255823506ddfddc9954c1d3679eb76a2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","UBA7312","UBA7312",NA
"78",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","25d3de8d24c8554a70c1dc7f33320e45","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",NA
"79",15.6666666666667,0.017890186201548,0.127364501556729,0.140464462098016,0.888293029211533,1,1,"Not Significant","conventional","26538531fa48fa763ce97b7059d07957","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","OLB9",NA
"80",5.07142857142857,0.0197362612005257,0.208995223281984,0.0944340300730071,0.924764384491928,1,1,"Not Significant","conventional","268782496933927e1e7bc61bfea6a995","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Ancylomarina_A",NA
"81",3,4.95621573830134e-08,0.270118281057446,1.83483165926385e-07,0.999999853601615,1,1,"Not Significant","conventional","270e81397e190068fbdc6a996d366303","Bacteria","Myxococcota_A_473307","Bradymonadia","UBA7976","UBA1532","UBA1532",NA
